"Brazil";"BrasÃ­lia";"BRA";"South America";"http://maps.googleapis.com/maps/api/staticmap?center=BRAZIL&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Bahamas";"Nassau";"BHS";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=BAHAMAS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Bhutan";"Thimphu";"BTN";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=BHUTAN&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Bouvet Island";"No data";"BVT";"Antarctica";"http://maps.googleapis.com/maps/api/staticmap?center=BOUVET ISLAND&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Botswana";"Gaborone";"BWA";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=BOTSWANA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Belarus";"Minsk";"BLR";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=BELARUS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Belize";"Belmopan";"BLZ";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=BELIZE&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Canada";"Ottawa";"CAN";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=CANADA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Cocos [Keeling] Islands";"West Island";"CCK";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=COCOS [KEELING] ISLANDS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Congo [DRC]";"Kinshasa";"COD";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=CONGO [DRC]&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Central African Republic";"Bangui";"CAF";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=CENTRAL AFRICAN REPUBLIC&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Congo [Republic]";"Brazzaville";"COG";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=CONGO [REPUBLIC]&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Switzerland";"Berne";"CHE";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=SWITZERLAND&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Ivory Coast";"Yamoussoukro";"CIV";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=IVORY COAST&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Cook Islands";"Avarua";"COK";"Oceania";"http://maps.googleapis.com/maps/api/staticmap?center=COOK ISLANDS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Chile";"Santiago";"CHL";"South America";"http://maps.googleapis.com/maps/api/staticmap?center=CHILE&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Cameroon";"YaoundÃ©";"CMR";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=CAMEROON&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"China";"Beijing";"CHN";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=CHINA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Colombia";"BogotÃ¡";"COL";"South America";"http://maps.googleapis.com/maps/api/staticmap?center=COLOMBIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Costa Rica";"San JosÃ©";"CRI";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=COSTA RICA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Cuba";"Havana";"CUB";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=CUBA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Cape Verde";"Praia";"CPV";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=CAPE VERDE&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Curacao";"Willemstad";"CUW";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=CURACAO&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Christmas Island";"The Settlement";"CXR";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=CHRISTMAS ISLAND&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Cyprus";"Nicosia";"CYP";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=CYPRUS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Czech Republic";"Prague";"CZE";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=CZECH REPUBLIC&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Germany";"Berlin";"DEU";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=GERMANY&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Djibouti";"Djibouti";"DJI";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=DJIBOUTI&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Denmark";"Copenhagen";"DNK";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=DENMARK&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Dominica";"Roseau";"DMA";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=DOMINICA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
