"MAR";"35.92";"-0.99";"27.66";"-13.18"
"MCO";"43.76";"7.44";"43.73";"7.41"
"MDA";"48.49";"30.16";"45.46";"26.62"
"MDG";"-11.95";"50.48";"-25.61";"43.18"
"MDV";"6.93";"73.58";"-0.7";"73.08"
"MEX";"32.72";"-86.71";"14.54";"-118.37"
"MHL";"14.62";"172";"4.57";"165.53"
"MKD";"42.37";"23.03";"40.85";"20.46"
"MLI";"25";"4.24";"10.16";"-12.24"
"MLT";"36.08";"14.57";"35.81";"14.18"
"MMR";"28.54";"101.17";"9.6";"92.2"
"MNG";"52.15";"119.92";"41.57";"87.69"
"MOZ";"-10.48";"40.85";"-26.87";"30.22"
"MRT";"27.3";"-4.82";"14.72";"-17.07"
"MUS";"-10.33";"63.5";"-20.53";"56.57"
"MWI";"-9.37";"35.9";"-17.12";"32.67"
"MYS";"7.36";"119.27";"0.86";"99.64"
"NAM";"-16.96";"25.26";"-28.96";"11.73"
"NER";"23.53";"16";"11.7";"0.17"
"NGA";"13.89";"14.68";"4.28";"2.66"
"NIC";"15.03";"-82.73";"10.71";"-87.69"
"NIU";"-18.95";"-169.78";"-19.16";"-169.95"
"NLD";"53.55";"7.22";"12.03";"-70.06"
"NOR";"80.75";"33.63";"57.97";"4.64"
"NPL";"30.43";"88.2";"26.36";"80.06"
"NRU";"-0.49";"166.95";"-0.55";"166.91"
"NZL";"-29.24";"178.84";"-52.61";"-178.44"
"OMN";"26.39";"59.84";"16.65";"52"
"PAK";"37.09";"77.84";"23.69";"60.88"
"PAN";"9.63";"-77.17";"7.2";"-83.05"
"PER";"-0.03";"-68.68";"-18.38";"-81.33"
"PHL";"20.84";"126.6";"4.65";"116.93"
"PLW";"7.73";"134.65";"6.88";"134.13"
"PNG";"-1.13";"159.49";"-11.66";"140.87"
"POL";"54.84";"24.15";"49.04";"14.12"
"PRK";"43.01";"130.69";"37.65";"124.2"
"PRT";"42.14";"-6.19";"30.14";"-31.27"
"PRY";"-19.34";"-54.26";"-27.61";"-62.65"
"QAT";"26.16";"51.63";"24.47";"50.75"
"RUS";"81.86";"180";"41.19";"-180"
"RWA";"-1.05";"30.9";"-2.84";"28.86"
"SAU";"32.15";"55.67";"15.66";"34.5"
"SDN";"22.22";"38.57";"3.49";"21.84"
"SEN";"16.69";"-11.35";"12.31";"-17.53"
"SLB";"-5.42";"168.83";"-12.29";"155.51"
"SLE";"9.99";"-10.28";"6.94";"-13.3"
"SLV";"14.45";"-87.69";"13.15";"-90.12"
"SMR";"43.99";"12.51";"43.89";"12.41"
"SOM";"11.99";"51.42";"-1.66";"41"
"STP";"1.7";"7.46";"-0.01";"6.46"
"SUR";"6.02";"-53.98";"1.84";"-58.08"
"SVK";"49.6";"22.57";"47.73";"16.84"
"SVN";"46.88";"16.61";"45.42";"13.38"
"SWE";"69.06";"24.16";"55.34";"10.98"
"SWZ";"-25.72";"32.14";"-27.32";"30.79"
"SYC";"-4.28";"56.3";"-10.2";"46.2"
"SYR";"37.32";"42.37";"32.31";"35.61"
"TCD";"23.45";"24";"7.45";"13.47"
"TGO";"11.15";"1.8";"6.1";"-0.15"
"THA";"20.47";"105.64";"5.61";"97.35"
"TJK";"41.04";"75.14";"36.67";"67.39"
"TKM";"42.8";"66.68";"35.14";"52.44"
"TON";"-15.56";"-173.7";"-22.34";"-176.22"
"TTO";"11.35";"-60.52";"10.04";"-61.93"
"TUN";"37.54";"11.59";"30.24";"7.52"
"TUR";"42.1";"44.82";"35.82";"25.66"
"TUV";"-5.67";"179.22";"-8.55";"176.13"
"TZA";"-0.99";"40.45";"-11.75";"29.33"
"UGA";"4.22";"35.04";"-1.48";"29.57"
"UKR";"52.38";"40.22";"44.38";"22.16"
"URY";"-30.08";"-53.07";"-34.98";"-58.44"
"USA";"71.39";"179.78";"5.87";"-179.15"
"UZB";"45.61";"73.13";"37.18";"56"
"VCT";"13.38";"-61.12";"12.58";"-61.47"
"VEN";"12.2";"-59.81";"0.74";"-73.37"
"VNM";"23.39";"109.47";"8.42";"102.15"
"VUT";"-13.07";"170.21";"-20.25";"166.52"
"WSM";"-13.44";"-171.45";"-14.05";"-172.83"
"YEM";"19";"54.54";"12.11";"41.82"
"ZAF";"-22.13";"38";"-54.47";"3.33"
"ZMB";"-8.22";"33.7";"-18.08";"22"
"ZWE";"-15.61";"33.05";"-22.42";"25.24"
